identified_template,type,corr_oracle_templates,num_messages,id_ground
[ iothunderboltswitch0 ( <*> ) ::listenercallback  -  thunderbolt  hpd  packet  for  route   =   <*>  port   =   <*>  unplug   = <*> ] ,Partial,['IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>'],36,E252
[ thermal  pressure  state: <*> memory  pressure  state: <*> ] ,Match,['Thermal pressure state: <*> Memory pressure state: <*>'],39,E323
[ faurltaskid [ <*> ]   dealloc ] ,Match,['FA||Url||taskID[<*>] dealloc'],17,E216
[ arpt:  <*>:  airport_brcm43xx::syncpowerstate:  wwen [ enabled ]  ] ,Partial,['ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled]'],12,E128
[ arpt:  <*>:  airport_brcm43xx::platformwowenable:  wwen [ disable ]  ] ,Partial,['ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable]'],16,E124
[ mdns_registerinterface:  frequent  transitions  for  interface  <*>   ( fe80:0000:0000:0000:d8a5:90ff:fef5:7fff )  ] ,Partial,"['mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)', 'mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>)', 'mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>)', 'mDNS_RegisterInterface: Frequent transitions for interface awdl0 (<*>)']",7,E260
"[ arpt:  <*>:  iopmpowersource  information:  onsleep   sleeptype:  normal  sleep   ""externalconnected:""  yes   ""timeremaining:"" <*> ] ",Match,"[""ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,""]",7,E135
[ arpt:  <*>:  wl0:  wl_update_tcpkeep_seq:  original  seq:  <*>   ack:  <*>   win  size: <*> ] ,Match,"['ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>']",6,E149
[ arpt:  <*>:  arpt:  wake  reason:  wake  on  scan  offload ] ,Match,['ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload'],9,E131
[ __73- [ NetworkAnalyticsEngine  observeValueForKeyPath:ofObject:change:context: ] _block_invoke  unexpected  switch  value <*> ] ,Partial,['__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>'],16,E50
[ IO80211AWDLPeerManager::setAwdlAutoMode  Resuming  AWDL ] ,Partial,['<*>::setAwdlAutoMode Resuming AWDL'],15,E58
[ arpt:  <*>:  wl0:  mdns: <*> srv  recs <*> txt  recs ] ,Match,"['ARPT: <*>.<*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs']",9,E140
[ AppleCamIn::systemWakeCall  -  messageType   =   <*> ] ,Match,['AppleCamIn::systemWakeCall - messageType = <*>'],56,E120
"[ setting  hostname  to  ""authormacbook-pro.local"" ] ",Partial,"['setting hostname to ""<*>""']",7,E311
"[ <*>:  scheduler_evaluate_activity  told  me  to  run  this  job;  however   but  the  start  time  ""isnt""  for  <*>  seconds.  ignoring. ] ",Partial,"[""com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.""]",165,E189
[ CCIOReporterFormatter::addRegistryChildToChannelDictionary  streams <*> ] ,Match,['CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>'],7,E175
[  [ <*> ]     CRABS    crabsFlumeHostAvailable:   [ <*> ]   Byte  flume  reports  host  available  again. ] ,Match,['[<*>:<*>:<*>.<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.'],3,E13
[ AirPort:  Link  Down  on  awdl0.  Reason <*> ( Unspecified ) . ] ,Match,['AirPort: Link Down on awdl0. Reason <*> (Unspecified).'],7,E109
[ pm  response  took  <*>  ms   ( <*> powerd )  ] ,Match,"['PM response took <*> ms (<*>, powerd)']",9,E288
[ arpt:  <*>:  wl0:  roamed  or  switched  channel   reason  <*>   bssid  <*>   last  rssi  -<*> ] ,Match,"['ARPT: <*>.<*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*><*>:<*>, last RSSI <*>']",4,E143
[ nw_nat64_post_new_ifstate  successfully  changed  NAT64  ifstate  from  <*>  to  <*> ] ,Partial,['nw_<*>_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>'],15,E276
